POZO,FECHA,AGUA_INYECTADA,PIA
well_11,13/06/2018,2329,1504
well_11,14/06/2018,2090,1302
well_11,15/06/2018,2229,1483
well_11,16/06/2018,2350,1473
well_11,17/06/2018,2313,1494
well_11,18/06/2018,2294,1446
well_11,19/06/2018,2473,1363
well_11,20/06/2018,2259,1247
well_11,21/06/2018,2097,1229
well_11,22/06/2018,2059,1202
well_11,23/06/2018,2140,1262
well_11,24/06/2018,2126,1273
well_11,25/06/2018,2167,1273
well_11,26/06/2018,2325,1186
well_11,27/06/2018,1308,1090
well_11,28/06/2018,1940,1189
well_11,29/06/2018,2073,1191
well_11,30/06/2018,1798,1262
well_11,1/07/2018,127,1131
well_11,2/07/2018,1024,1064
well_11,3/07/2018,2043,1231
well_11,4/07/2018,2057,1215
well_11,5/07/2018,1910,1150
well_11,6/07/2018,2007,1208
well_11,7/07/2018,2051,1263
well_11,8/07/2018,2246,1273
well_11,9/07/2018,2119,1225
well_11,10/07/2018,2056,1191
well_11,11/07/2018,2084,1191
well_11,12/07/2018,952,861
well_11,13/07/2018,1794,1064
well_11,14/07/2018,1285,0
well_11,15/07/2018,1167,864
well_11,16/07/2018,1783,966
well_11,17/07/2018,1800,948
well_11,18/07/2018,66,984
well_11,19/07/2018,0,0
well_11,20/07/2018,666,374
well_11,21/07/2018,0,0
well_11,22/07/2018,562,326
well_11,23/07/2018,1779,892
well_11,24/07/2018,1569,782
well_11,25/07/2018,902,793
well_11,26/07/2018,0,0
well_11,27/07/2018,774,849
well_11,28/07/2018,1597,810
well_11,29/07/2018,720,784
well_11,30/07/2018,0,0
well_11,31/07/2018,0,0
well_11,1/08/2018,1559,743
well_11,2/08/2018,1603,767
well_11,3/08/2018,1600,809
well_11,4/08/2018,1501,724
well_11,5/08/2018,1600,814
well_11,6/08/2018,1666,819
well_11,7/08/2018,1635,809
well_11,8/08/2018,1209,574
well_11,9/08/2018,795,390
well_11,10/08/2018,0,0
well_11,11/08/2018,443,755
well_11,12/08/2018,365,734
well_11,13/08/2018,380,588
well_11,14/08/2018,1551,704
well_11,15/08/2018,1570,761
well_11,16/08/2018,1608,786
well_11,17/08/2018,1568,798
well_11,18/08/2018,1596,781
well_11,19/08/2018,1664,815
well_11,20/08/2018,1688,843
well_11,21/08/2018,563,0
well_11,22/08/2018,1617,827
well_11,23/08/2018,1638,826
well_11,24/08/2018,1709,843
well_11,25/08/2018,417,897
well_11,26/08/2018,1021,808
well_11,27/08/2018,1350,569
well_11,28/08/2018,1436,843
well_11,29/08/2018,1711,828
well_11,30/08/2018,1688,765
well_11,31/08/2018,1678,774
